,"Euro Area, FX Spot Rates, Macrobond, EUR per USD","Japan, FX Spot Rates, Macrobond, JPY per USD","United Kingdom, FX Spot Rates, Macrobond, GBP per USD","Switzerland, FX Spot Rates, Macrobond, CHF per USD","Canada, FX Spot Rates, Macrobond, CAD per USD","Australia, FX Spot Rates, Macrobond, AUD per USD","New Zealand, FX Spot Rates, Macrobond, NZD per USD","Norway, FX Spot Rates, Macrobond, NOK per USD","Sweden, FX Spot Rates, Macrobond, SEK per USD","United States, FX Indices, ICE, U.S. Dollar Index, Close"
2001-06-28,1.1787,124.915,0.7098,1.7909,1.5246,1.9573,2.4272,9.2908,10.8168,120.01
2001-06-29,1.1812,124.7156,0.711,1.7974,1.5176,1.9681,2.4884,9.3355,10.885,119.43
2001-07-02,1.1816,124.3156,0.7065,1.7974,1.5153,1.9607,2.4663,9.3755,10.922,119.67
2001-07-03,1.1811,124.5206,0.7106,1.7976,1.5083,1.9412,2.4533,9.3583,10.8869,119.6
2001-07-04,1.1824,124.45,0.7111,1.7976,1.5117,1.9275,2.4603,9.3728,10.8898,119.91
2001-07-05,1.1949,125.725,0.7146,1.8182,1.5105,1.9354,2.4683,9.4241,11.0049,120.9
2001-07-06,1.1842,126.04,0.7111,1.7995,1.5173,1.9724,2.4833,9.3991,10.9722,119.9
2001-07-09,1.1776,125.4305,0.7094,1.793,1.5223,1.9708,2.4606,9.3373,10.9491,119.89
2001-07-10,1.1684,125.45,0.7086,1.7796,1.5202,1.9585,2.4579,9.2795,10.8491,119.13
2001-07-11,1.1611,124.1406,0.707,1.7618,1.5282,1.9751,2.4661,9.2729,10.8031,118.64
2001-07-12,1.1731,123.8956,0.7112,1.7738,1.5272,1.9821,2.4767,9.3199,10.8733,119.09
2001-07-13,1.1742,124.795,0.7139,1.7748,1.5388,1.9695,2.4576,9.3328,10.8284,119.33
2001-07-16,1.1696,125.355,0.7143,1.7686,1.5409,1.9602,2.4495,9.341,10.7684,119.3
2001-07-17,1.1744,125.075,0.7141,1.7773,1.5393,1.9767,2.4619,9.3861,10.8191,118.9
2001-07-18,1.1477,124.3806,0.7066,1.7282,1.5349,1.9449,2.4357,9.1945,10.6114,117.38
2001-07-19,1.1498,123.495,0.7058,1.7318,1.5386,1.9492,2.4181,9.1926,10.647,117.33
2001-07-20,1.1456,123.0957,0.7001,1.7234,1.5432,1.9758,2.4497,9.163,10.6343,117.21
2001-07-23,1.1521,124.22,0.7045,1.7358,1.5467,1.9705,2.4432,9.208,10.7102,117.85
2001-07-24,1.1437,124.0556,0.7042,1.7239,1.5393,1.97,2.4372,9.1639,10.6566,117.12
2001-07-25,1.1374,123.5707,0.7005,1.7141,1.5365,1.9686,2.4227,9.1187,10.6176,116.64
2001-07-26,1.1405,123.8157,0.7006,1.7232,1.5344,1.9669,2.4277,9.1274,10.6164,116.74
2001-07-27,1.1451,123.76,0.7024,1.7279,1.535,1.9798,2.4334,9.1436,10.6078,116.94
2001-07-30,1.1426,125.165,0.702,1.7279,1.5304,1.9782,2.426,9.1299,10.5988,117.2
2001-07-31,1.1429,124.8806,0.7017,1.7273,1.5283,1.9714,2.4321,9.1379,10.6266,117.18
2001-08-01,1.1377,124.755,0.6983,1.7172,1.537,1.9397,2.4053,9.1075,10.5717,116.56
2001-08-02,1.1339,123.6757,0.6983,1.7112,1.5385,1.9236,2.3894,9.0574,10.4499,116.28
2001-08-03,1.1291,123.425,0.6996,1.7024,1.5355,1.9288,2.3827,9.0028,10.3463,116.14
